url,n_img,n_with_alt,n_lazy
/404.html,1,1,0
/about.html,0,0,0
/accessibility.html,0,0,0
/blog.html,2,2,1
/blog/dynamics-gp-sunset-switch-to-simplegrid/,3,3,2
/blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/,4,4,3
/blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/,5,5,4
/blog/how-ai-changed-erp-deployment-not-features-deployment/,3,3,2
/blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/,3,3,2
/blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/,3,3,2
/blog/how-we-built-an-erp-chatbot-with-claude-no-rag-and-full-context/,3,3,2
/blog/inside-simplegrid-every-factory-floor-is-different-that-is-the-whole-point/,3,3,2
/blog/module-based-erp-vs-sg-schema-erp-two-architectures-two-outcomes/,4,4,3
/blog/multi-tenant-architecture-how-simplegrid-runs-100-clients-on-one-platform/,3,3,2
/blog/sg-schema-why-your-erp-should-speak-your-language/,3,3,2
/blog/the-myth-of-erp-best-practices-your-operation-is-not-generic/,3,3,2
/blog/the-real-cost-of-running-your-factory-on-spreadsheets/,3,3,2
/blog/what-happens-when-your-erp-cannot-keep-up-with-your-business/,3,3,2
/blog/why-conversational-ux-does-not-change-user-behavior-and-why-that-is-the-point/,3,3,2
/blog/why-mid-market-manufacturers-are-the-most-underserved-businesses-in-enterprise-software/,3,3,2
/blog/why-your-erp-vendor-charges-you-for-every-change-and-how-to-stop-paying/,3,3,2
/blog/why-your-warehouse-manager-should-be-your-erp-s-first-user/,3,3,2
/case-apex.html,0,0,0
/case-furniture-manufacturer.html,0,0,0
/case-studies.html,0,0,0
/competitors.html,2,2,1
/competitors/acumatica/,2,2,1
/competitors/doss/,2,2,1
/competitors/dynamics-365/,2,2,1
/competitors/infor/,2,2,1
/competitors/jobboss2/,2,2,1
/competitors/netsuite/,2,2,1
/competitors/odoo/,2,2,1
/competitors/sap-business-one/,2,2,1
/furniture-erp/,1,1,0
/hiring.html,0,0,0
/,0,0,0
/pricing.html,0,0,0
/privacy.html,0,0,0
/product.html,0,0,0
/security.html,0,0,0
/sg-schema.html,0,0,0
/terms.html,0,0,0
/tools/automation-roi-estimator/,2,2,1
/tools/bill-of-materials-template/,4,4,1
/tools/break-even-calculator/,2,2,1
/tools/burden-rate-calculator/,2,2,1
/tools/business-valuation-calculator/,2,2,1
/tools/capacity-planning-calculator/,2,2,1
/tools/cost-of-poor-quality/,2,2,1
/tools/customer-concentration-risk/,2,2,1
/tools/digital-maturity-assessment/,2,2,1
/tools/downtime-cost-calculator/,2,2,1
/tools/ebitda-calculator/,2,2,1
/tools/erp-needs-assessment/,2,2,1
/tools/erp-readiness-scorecard/,2,2,1
/tools/exit-readiness-scorecard/,2,2,1
/tools/expansion-roi-calculator/,2,2,1
/tools/hire-vs-overtime/,2,2,1
/tools/,2,2,1
/tools/insurance-coverage-checklist/,2,2,1
/tools/invoice-generator/,4,4,1
/tools/iso-9001-readiness/,2,2,1
/tools/job-cost-calculator/,4,4,1
/tools/lease-vs-buy-equipment/,2,2,1
/tools/make-vs-buy-calculator/,2,2,1
/tools/manufacturing-kpi-benchmark/,2,2,1
/tools/markup-vs-margin/,2,2,1
/tools/oee-calculator/,2,2,1
/tools/operations-health-score/,2,2,1
/tools/osha-compliance-checklist/,2,2,1
/tools/production-schedule-template/,4,4,1
/tools/purchase-order-generator/,4,4,1
/tools/quality-inspection-checklist/,4,4,1
/tools/quote-generator/,4,4,1
/tools/reorder-point-calculator/,2,2,1
/tools/revenue-per-employee/,2,2,1
/tools/scrap-waste-calculator/,2,2,1
/tools/sde-calculator/,2,2,1
